Tuple,count
"('breaking', ('India', u'Uttar Pradesh'), '2013-04-29')",1
"('notch', ('India', u'Uttar Pradesh'), '2013-04-29')",1
"('trade', ('India', u'Tamil Nadu'), '2013-04-22')",1
"('news', ('India', u'Maharashtra'), '2013-01-21')",1
"('twin', ('India', u'Andhra Pradesh'), '2013-01-07')",1
"('overhaul', ('India', u'Maharashtra'), '2013-05-20')",1
"('caretaker', ('India', u'Karnataka'), '2013-06-10')",1
"('student', ('India', u'Karnataka'), '2013-05-27')",1
"('stress', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('rush', ('India', u'Bihar'), '2013-05-20')",1
"('many', ('India', u'Tamil Nadu'), '2013-06-10')",1
"('biological', ('India', u'Maharashtra'), '2013-06-10')",1
"('iceberg', ('India', u'Maharashtra'), '2013-04-15')",1
"('instead', ('India', u'Tamil Nadu'), '2013-06-10')",1
"('stephensi', ('India', u'Karnataka'), '2013-04-22')",1
"('garb', ('India', u'Kerala'), '2013-05-06')",1
"('job', ('India', u'Maharashtra'), '2013-02-11')",1
"('outbreak', ('India', u'Karnataka'), '2013-05-27')",1
"('name', ('India', u'Karnataka'), '2013-04-22')",1
"('vardhan', ('India', u'Goa'), '2013-05-27')",1
"('kulam', ('India', u'Karnataka'), '2013-04-22')",1
"('late', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('lobby', ('India', u'Karnataka'), '2013-06-10')",1
"('death', ('India', u'West Bengal'), '2013-05-06')",1
"('threatening', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('urgent', ('India', u'Kerala'), '2013-06-03')",1
"('child', ('India', u'Chandigarh'), '2013-06-03')",1
"('wednesday', ('India', u'Tamil Nadu'), '2013-04-22')",1
"('diagnose', ('India', u'Haryana'), '2013-05-06')",1
"('kilometer', ('India', u'Madhya Pradesh'), '2013-03-04')",1
"('kenchalagudu', ('India', u'Karnataka'), '2013-05-20')",1
"('number', ('India', u'Tamil Nadu'), '2013-06-10')",1
"('food', ('India', u'Goa'), '2013-05-27')",1
"('kem', ('India', u'Maharashtra'), '2013-02-11')",1
"('primary', ('India', u'Kerala'), '2013-05-06')",1
"('cooler', ('India', u'Andhra Pradesh'), '2013-01-07')",1
"('writer', ('India', u'Kerala'), '2013-06-03')",1
"('source', ('India', u'Madhya Pradesh'), '2013-04-08')",1
"('reporting', ('India', u'Karnataka'), '2013-05-27')",1
"('team', ('India', u'Madhya Pradesh'), '2013-02-11')",1
"('cause', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('entire', ('India', u'Kerala'), '2013-05-27')",1
"('inflation', ('India', u'Uttar Pradesh'), '2013-04-29')",1
"('punjab', ('India', u'Tamil Nadu'), '2013-04-22')",1
"('around', ('India', u'Karnataka'), '2013-05-20')",1
"('say', ('India', u'Tamil Nadu'), '2013-04-22')",2
"('give', ('India', u'Punjab'), '2013-04-08')",1
"('nuke', ('India', u'Orissa'), '2013-04-22')",1
"('run', ('India', u'Maharashtra'), '2013-04-15')",1
"('single', ('India', u'Andhra Pradesh'), '2013-01-07')",1
"('aedes', ('India', u'Punjab'), '2013-06-10')",1
"('interview', ('India', u'Maharashtra'), '2013-02-11')",1
"('web', ('India', u'Maharashtra'), '2013-05-20')",1
"('specialize', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('accord', ('India', u'Kerala'), '2013-05-13')",2
"('sight', ('India', 'Kerala'), '2013-05-13')",1
"('student', ('India', u'Karnataka'), '2013-04-22')",1
"('doctor', ('India', u'Orissa'), '2013-04-22')",1
"('vivax', ('India', u'Rajasthan'), '2013-04-22')",1
"('phds', ('India', u'Kerala'), '2013-05-06')",1
"('gajapati', ('India', u'Orissa'), '2013-04-22')",1
"('fumigation', ('India', u'Tamil Nadu'), '2013-06-10')",1
"('committee', ('India', u'Haryana'), '2013-05-06')",1
"('fever', ('India', u'Karnataka'), '2013-05-27')",2
"('cremate', ('India', u'Maharashtra'), '2013-02-11')",1
"('new', ('India', u'Punjab'), '2013-04-08')",1
"('society', ('India', u'Gujarat'), '2013-06-10')",1
"('curb', ('India', u'Maharashtra'), '2013-05-20')",1
"('metal', ('India', u'Karnataka'), '2013-06-10')",1
"('sector', ('India', u'West Bengal'), '2013-01-21')",1
"('death', ('India', u'Madhya Pradesh'), '2013-02-25')",2
"('number', ('India', u'Delhi'), '2013-05-20')",1
"('investigate', ('India', u'Karnataka'), '2013-06-10')",2
"('uproot', ('India', u'West Bengal'), '2013-05-06')",1
"('area', ('India', u'Rajasthan'), '2013-04-22')",1
"('mayor', ('India', u'Tamil Nadu'), '2013-04-22')",1
"('inmate', ('India', u'Goa'), '2013-05-27')",1
"('flak', ('India', u'Karnataka'), '2013-04-22')",1
"('mark', ('India', u'Kerala'), '2013-05-27')",1
"('meanwhile', ('India', u'Kerala'), '2013-05-13')",1
"('feature', ('India', u'Maharashtra'), '2013-02-11')",1
"('lead', ('India', u'Goa'), '2013-01-21')",1
"('bollock', ('India', u'Punjab'), '2013-01-21')",1
"('beat', ('India', u'Punjab'), '2013-01-21')",1
"('dutt', ('India', u'Karnataka'), '2013-04-22')",1
"('disease', ('India', u'Andhra Pradesh'), '2013-06-10')",1
"('alliance', ('India', u'Karnataka'), '2013-04-22')",1
"('small', ('India', u'Andhra Pradesh'), '2013-06-10')",1
"('carry', ('India', u'Karnataka'), '2013-04-22')",1
"('part', ('India', u'Kerala'), '2013-06-03')",1
"('make', ('India', u'Kerala'), '2013-05-13')",1
"('injure', ('India', u'Kerala'), '2013-06-10')",1
"('celebration', ('India', u'Uttar Pradesh'), '2013-05-06')",1
"('family', ('India', u'Karnataka'), '2013-05-20')",1
"('account', ('India', u'Uttar Pradesh'), '2013-04-29')",1
"('saturday', ('India', u'Kerala'), '2013-06-03')",2
"('implementation', ('India', u'Orissa'), '2013-04-22')",1
"('policy', ('India', u'Gujarat'), '2013-06-10')",1
"('chairman', ('India', u'Kerala'), '2013-06-03')",1
"('related', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('many', ('India', u'Rajasthan'), '2013-04-22')",1
"('mean', ('India', u'Madhya Pradesh'), '2013-04-08')",1
"('block', ('India', u'Tamil Nadu'), '2013-01-07')",1
